[19:39:31] Autonomous Robot Node initialized. PID=23252, Start=(18, 6), Goal=(1, 6)
[19:39:31] Initial path planned (18 steps) to (1, 6).
[19:39:54] [Tick 46] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=520.0, Battery=53.3%, Waits=23
[19:39:54] [Tick 47] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=530.0, Battery=53.2%, Waits=24
[19:39:55] [Tick 48] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=540.0, Battery=53.1%, Waits=25
[19:39:55] [Tick 49] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=550.0, Battery=53.0%, Waits=26
[19:39:56] [Tick 50] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=560.0, Battery=52.9%, Waits=27
[19:39:56] [Tick 51] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=570.0, Battery=52.8%, Waits=28
[19:39:57] [Tick 52] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=580.0, Battery=52.7%, Waits=29
[19:39:57] [Tick 53] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=590.0, Battery=52.6%, Waits=30
[19:39:58] [Tick 54] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=600.0, Battery=52.5%, Waits=31
[19:39:58] [Tick 55] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=610.0, Battery=52.4%, Waits=32
[19:39:59] [Tick 56] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=620.0, Battery=52.3%, Waits=33
[19:39:59] [Tick 57] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=630.0, Battery=52.2%, Waits=34
[19:40:00] [Tick 58] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=640.0, Battery=52.1%, Waits=35
[19:40:00] [Tick 59] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=650.0, Battery=52.0%, Waits=36
[19:40:01] [Tick 60] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=660.0, Battery=51.9%, Waits=37
[19:40:01] [Tick 61] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=670.0, Battery=51.8%, Waits=38
[19:40:02] [Tick 62] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=680.0, Battery=51.7%, Waits=39
[19:40:02] [Tick 63] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=690.0, Battery=51.6%, Waits=40
[19:40:03] [Tick 64] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=700.0, Battery=51.5%, Waits=41
[19:40:03] [Tick 65] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=710.0, Battery=51.4%, Waits=42
[19:40:04] [Tick 66] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=720.0, Battery=51.3%, Waits=43
[19:40:04] [Tick 67] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=730.0, Battery=51.2%, Waits=44
[19:40:05] [Tick 68] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=740.0, Battery=51.1%, Waits=45
[19:40:05] [Tick 69] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=750.0, Battery=51.0%, Waits=46
[19:40:06] [Tick 70] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=760.0, Battery=50.9%, Waits=47
[19:40:06] [Tick 71] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=770.0, Battery=50.8%, Waits=48
[19:40:07] [Tick 72] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=780.0, Battery=50.7%, Waits=49
[19:40:07] [Tick 73] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=790.0, Battery=50.6%, Waits=50
[19:40:08] [Tick 74] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=800.0, Battery=50.5%, Waits=51
[19:40:08] [Tick 75] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=810.0, Battery=50.4%, Waits=52
[19:40:09] [Tick 76] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=820.0, Battery=50.3%, Waits=53
[19:40:09] [Tick 77] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=830.0, Battery=50.2%, Waits=54
[19:40:10] [Tick 78] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=840.0, Battery=50.1%, Waits=55
[19:40:10] [Tick 79] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=850.0, Battery=50.0%, Waits=56
[19:40:11] [Tick 80] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=860.0, Battery=49.9%, Waits=57
[19:40:11] [Tick 81] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=870.0, Battery=49.8%, Waits=58
[19:40:12] [Tick 82] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=880.0, Battery=49.7%, Waits=59
[19:40:12] [Tick 83] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=890.0, Battery=49.6%, Waits=60
[19:40:13] [Tick 84] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=900.0, Battery=49.5%, Waits=61
[19:40:13] [Tick 85] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=910.0, Battery=49.4%, Waits=62
[19:40:14] [Tick 86] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=920.0, Battery=49.3%, Waits=63
[19:40:14] [Tick 87] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=930.0, Battery=49.2%, Waits=64
[19:40:15] [Tick 88] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=940.0, Battery=49.1%, Waits=65
[19:40:15] [Tick 89] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=950.0, Battery=49.0%, Waits=66
[19:40:16] [Tick 90] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=960.0, Battery=48.9%, Waits=67
[19:40:16] [Tick 91] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=970.0, Battery=48.8%, Waits=68
[19:40:17] [Tick 92] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=980.0, Battery=48.7%, Waits=69
[19:40:17] [Tick 93] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=990.0, Battery=48.6%, Waits=70
[19:40:18] [Tick 94] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=1000.0, Battery=48.5%, Waits=71
[19:40:18] [Tick 95] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=1010.0, Battery=48.4%, Waits=72
[19:40:19] [Tick 96] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=1020.0, Battery=48.3%, Waits=73
[19:40:19] [Tick 97] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=1030.0, Battery=48.2%, Waits=74
[19:40:20] [Tick 98] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=1040.0, Battery=48.1%, Waits=75
[19:40:20] [Tick 99] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=1050.0, Battery=48.0%, Waits=76
[19:40:21] [Tick 100] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=1060.0, Battery=47.9%, Waits=77
[19:40:21] [Tick 101] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=1070.0, Battery=47.8%, Waits=78
[19:40:22] [Tick 102] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=1080.0, Battery=47.7%, Waits=79
[19:40:22] [Tick 103] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=1090.0, Battery=47.6%, Waits=80
[19:40:23] [Tick 104] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=1100.0, Battery=47.5%, Waits=81
[19:40:23] [Tick 105] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=1110.0, Battery=47.4%, Waits=82
[19:40:24] [Tick 106] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=1120.0, Battery=47.3%, Waits=83
[19:40:25] [Tick 107] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=1130.0, Battery=47.2%, Waits=84
[19:40:25] [Tick 108] Pos=(1, 6), Heading=NORTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=1140.0, Battery=47.1%, Waits=85
